Distance (r),g(r)
0.015,264686.9003286679
0.045,0.0
0.075,0.0
0.105,0.0
0.135,0.0
0.16499999999999998,0.0
0.195,0.0
0.22499999999999998,0.0
0.255,0.0
0.28500000000000003,0.0
0.31499999999999995,0.0
0.345,0.0
0.375,0.0
0.405,0.0
0.43499999999999994,0.0
0.46499999999999997,0.0
0.495,0.0
0.525,0.0
0.5549999999999999,0.0
0.585,0.0
0.615,0.0
0.645,0.0
0.6749999999999999,0.0
0.705,0.0
0.735,0.0
0.765,0.0
0.7949999999999999,0.0
0.825,0.0
0.855,0.0
0.885,0.0
0.9149999999999999,0.0
0.945,0.0
0.975,0.0
1.005,0.0
1.0350000000000001,0.0
1.065,0.0
1.095,0.0
1.125,0.0
1.1549999999999998,0.0
1.185,0.0
1.2149999999999999,0.0
1.245,0.0
1.275,0.0
1.305,0.0
1.335,0.0
1.3649999999999998,0.0
1.395,0.0
1.4249999999999998,0.0
1.455,0.0
1.4849999999999999,0.0
1.5150000000000001,0.0
1.545,0.0
1.575,0.0
1.605,0.0
1.6349999999999998,0.0
1.665,0.0
1.6949999999999998,0.0
1.725,0.0
1.755,0.0
1.785,0.0
1.815,0.0
1.8449999999999998,0.0
1.875,0.0
1.9049999999999998,0.0
1.935,0.0
1.9649999999999999,0.0
1.9949999999999999,0.0
2.025,0.0
2.0549999999999997,0.0
2.085,0.0
2.115,0.0
2.145,0.0
2.175,0.0
2.205,0.0
2.235,0.0
2.2649999999999997,0.0
2.295,0.0
2.325,0.0
2.355,0.0
2.385,0.0
2.415,0.0
2.445,0.0
2.4749999999999996,0.0
2.505,0.0
2.535,0.0
2.565,0.37715861726646327
2.5949999999999998,1.1054660714488724
2.625,2.520800184896873
2.655,1.4080888003184762
2.6849999999999996,3.4419981004831075
2.715,3.02971758241167
2.745,2.9638567789719366
2.775,2.2556492051461143
2.8049999999999997,2.20765849875687
2.835,1.8524427535972892
2.865,3.6277032134516616
2.8949999999999996,1.1843026288106688
2.925,0.870100526168955
2.955,0.8525233416639574
2.985,1.9494380474359665
3.0149999999999997,1.6378599323991165
3.045,0.8028730354227961
3.075,1.312139603932695
3.105,1.8016697092726681
3.135,0.7574371022194918
3.165,1.2385771068957052
3.195,0.7292560879834381
3.2249999999999996,0.23858391171567955
3.255,1.1710317460813238
3.285,1.1497408516959364
3.315,1.1290253658473484
3.3449999999999998,0.6653188434944578
3.375,0.6535435988783693
3.405,0.6420782183820839
3.4349999999999996,0.8412158994453153
3.465,0.8267125394438721
3.495,0.40629052411871824
3.525,0.5991066154617998
3.5549999999999997,1.7671135071910764
3.585,0.9653679460412854
3.6149999999999998,1.3291765443147625
3.6449999999999996,1.1206176487823865
3.675,0.5511983141742917
3.705,1.265385830515472
3.735,1.2451400926194218
3.7649999999999997,0.8752688446033872
3.795,1.0337824444690304
3.825,0.3392099749952203
3.8549999999999995,1.0018530353397552
3.885,0.657626812050709
3.915,0.16189672614102177
3.945,1.1161065490852469
3.9749999999999996,0.4711385616930801
4.005,0.9282135487613975
4.035,0.7620520752584987
4.0649999999999995,0.7508456305505309
4.095,1.0358384071935465
4.125,1.1666588811891312
4.154999999999999,2.1560113390630566
4.1850000000000005,0.5667231212395012
4.215,1.3967115778644414
4.244999999999999,1.7901518847040878
4.275,1.357780927997965
4.305,1.740600114258076
4.335,1.45250110930511
4.365,0.9116571845333167
4.395,1.1561835575106325
4.425,1.1405596947622831
4.455,0.8751947556100761
4.484999999999999,1.4803297135501263
4.515000000000001,1.0955422395172594
4.545,1.9220043011507475
4.574999999999999,0.47422010550650284
4.605,1.2871690974009158
4.635,0.6930331068079799
4.664999999999999,1.140246982433494
4.695,1.576010437195194
4.725,1.2226195190472686
4.755,0.6584950152139037
4.785,0.8670185804977222
4.8149999999999995,1.0703103783945316
4.845,1.2685162066692983
4.875,1.4617770849643559
4.904999999999999,1.237672077799044
4.9350000000000005,1.3245593582059867
4.965,0.8052929267280232
4.994999999999999,0.9945610200284695
5.025,0.7861769188438309
5.055,0.7768731592116248
5.084999999999999,0.9596669762818358
5.115,1.7071972736796355
5.145,0.7499317189179866
5.175,0.6486043245348082
5.205,0.45796370354849475
5.234999999999999,1.0865517358676906
5.265,0.8056535180078038
5.295,0.5310334572223033
5.324999999999999,0.700089136387039
5.355,1.124933864003696
5.385,0.5134314129962059
5.414999999999999,1.0155163915168626
5.445,0.6695713224338112
5.475,0.8278170953743327
5.505,1.1463468415592837
5.535,0.9719605920745976
5.5649999999999995,1.0416352961660746
5.595,1.03049491847896
5.625,1.4116601222622154
5.654999999999999,0.38797835001317466
5.6850000000000005,0.767788810581057
5.715,0.6077993688141778
5.744999999999999,0.902202274405313
5.775,0.22321327803445512
5.805,1.0309232766280114
5.834999999999999,0.8745855409085348
5.865,0.5049690779506125
5.895,0.7140607608338321
5.925,0.9189025137671926
5.955,1.11959063477064
5.984999999999999,1.3854935277377574
